Time,F,M,K
0,25,43.6,0.02
1,24.628,42.8029,0.205136
2,24.2975,42.0122,0.353218
3,23.9939,41.2282,0.477232	
4,23.7097,40.451,0.583984
5,23.4403,39.6806,0.67757
6,23.1825,38.9171,0.760682
7,22.9344,38.1607,0.835201
8,22.6942,37.4113,0.902504
9,22.461,36.6689,0.963634
10,22.2336,35.9336,1.0194
11,22.0115,35.2053,1.07046
12,21.7939,34.4842,1.11733
13,21.5805,33.7702,1.16045
14,21.3707,33.0634,1.20018
15,21.1642,32.3636,1.23683
16,20.9607,31.6711,1.27067
17,20.7599,30.9856,1.30191
18,20.5617,30.3074,1.33076
19,20.3657,29.6363,1.3574
20,20.1719,28.9724,1.38196
21,19.98,28.3156,1.4046
22,19.7899,27.6661,1.42543
23,19.6014,27.0237,1.44457
24,19.4146,26.3886,1.4621
25,19.2291,25.7606,1.47811
